year,category_name,paper_count
2007,Artificial Intelligence,561
2007,Computer Vision,107
2007,Machine Learning,173
2007,Natural Language Processing,458
2007,Neural & Evolutionary Computing,153
2007,Other AI,542
2007,Robotics,146
2007,Statistical ML,9
2008,Artificial Intelligence,140
2008,Computer Vision,48
2008,Machine Learning,56
2008,Natural Language Processing,41
2008,Neural & Evolutionary Computing,47
2008,Other AI,808
2008,Robotics,51
2008,Statistical ML,37
2009,Artificial Intelligence,236
2009,Computer Vision,85
2009,Machine Learning,117
2009,Natural Language Processing,86
2009,Neural & Evolutionary Computing,81
2009,Other AI,231
2009,Robotics,42
2009,Statistical ML,81
2010,Artificial Intelligence,282
2010,Computer Vision,209
2010,Machine Learning,139
2010,Natural Language Processing,64
2010,Neural & Evolutionary Computing,121
2010,Other AI,236
2010,Robotics,39
2010,Statistical ML,103
2011,Artificial Intelligence,490
2011,Computer Vision,217
2011,Machine Learning,180
2011,Natural Language Processing,81
2011,Neural & Evolutionary Computing,78
2011,Other AI,370
2011,Robotics,65
2011,Statistical ML,151
2012,Artificial Intelligence,633
2012,Computer Vision,340
2012,Machine Learning,698
2012,Natural Language Processing,137
2012,Neural & Evolutionary Computing,122
2012,Other AI,609
2012,Robotics,86
2012,Statistical ML,219
2013,Artificial Intelligence,1367
2013,Computer Vision,547
2013,Machine Learning,603
2013,Natural Language Processing,197
2013,Neural & Evolutionary Computing,171
2013,Other AI,760
2013,Robotics,107
2013,Statistical ML,338
2014,Artificial Intelligence,671
2014,Computer Vision,867
2014,Machine Learning,666
2014,Natural Language Processing,340
2014,Neural & Evolutionary Computing,225
2014,Other AI,943
2014,Robotics,157
2014,Statistical ML,465
2015,Artificial Intelligence,617
2015,Computer Vision,1631
2015,Machine Learning,961
2015,Natural Language Processing,513
2015,Neural & Evolutionary Computing,244
2015,Other AI,1299
2015,Robotics,221
2015,Statistical ML,769
2016,Artificial Intelligence,863
2016,Computer Vision,2763
2016,Machine Learning,1419
2016,Natural Language Processing,1175
2016,Neural & Evolutionary Computing,339
2016,Other AI,1803
2016,Robotics,467
2016,Statistical ML,1009
2017,Artificial Intelligence,1070
2017,Computer Vision,4282
2017,Machine Learning,2005
2017,Natural Language Processing,1749
2017,Neural & Evolutionary Computing,372
2017,Other AI,2114
2017,Robotics,728
2017,Statistical ML,1404
2018,Artificial Intelligence,1384
2018,Computer Vision,6567
2018,Machine Learning,3757
2018,Natural Language Processing,2748
2018,Neural & Evolutionary Computing,510
2018,Other AI,3313
2018,Robotics,1129
2018,Statistical ML,1694
2019,Artificial Intelligence,1172
2019,Computer Vision,7945
2019,Machine Learning,7192
2019,Natural Language Processing,3799
2019,Neural & Evolutionary Computing,581
2019,Other AI,6215
2019,Robotics,1632
2019,Statistical ML,1626
2020,Artificial Intelligence,1773
2020,Computer Vision,10309
2020,Machine Learning,9656
2020,Natural Language Processing,5123
2020,Neural & Evolutionary Computing,694
2020,Other AI,10110
2020,Robotics,2259
2020,Statistical ML,1722
2021,Artificial Intelligence,2102
2021,Computer Vision,12231
2021,Machine Learning,12419
2021,Natural Language Processing,6340
2021,Neural & Evolutionary Computing,647
2021,Other AI,11055
2021,Robotics,3168
2021,Statistical ML,1691
2022,Artificial Intelligence,2082
2022,Computer Vision,14086
2022,Machine Learning,13460
2022,Natural Language Processing,6959
2022,Neural & Evolutionary Computing,734
2022,Other AI,12497
2022,Robotics,3611
2022,Statistical ML,1615
2023,Artificial Intelligence,2996
2023,Computer Vision,17598
2023,Machine Learning,15788
2023,Natural Language Processing,9473
2023,Neural & Evolutionary Computing,721
2023,Other AI,14062
2023,Robotics,4725
2023,Statistical ML,1709
